arrival,arr_airport
2025-06-06,1549
2025-06-07,1437
2025-06-08,1627
2025-06-09,1659
2025-06-10,1668
2025-06-11,1719
2025-06-12,1763
2025-06-13,1754
2025-06-14,1477
2025-06-15,1628
2025-06-16,1729
2025-06-17,1694
2025-06-18,1683
2025-06-19,1519
2025-06-20,1852
2025-06-21,1506
2025-06-22,1690
2025-06-23,1824
2025-06-24,1790
2025-06-25,1690
2025-06-26,1688
2025-06-27,1767
2025-06-28,1521
2025-06-29,1754
2025-06-30,1563
2025-07-01,1429
2025-07-02,1877
2025-07-03,1573
2025-07-04,1780
2025-07-05,1547
