arrival,arr_airport
2026-06-06,1384
2026-06-07,1778
2026-06-08,1867
2026-06-09,1896
2026-06-10,1652
2026-06-11,1770
2026-06-12,1625
2026-06-13,1699
2026-06-14,1559
2026-06-15,1885
2026-06-16,1887
2026-06-17,1894
2026-06-18,1870
2026-06-19,1936
2026-06-20,1653
2026-06-21,1852
2026-06-22,1534
2026-06-23,1856
2026-06-24,1951
2026-06-25,1965
2026-06-26,1956
2026-06-27,1609
2026-06-28,1839
2026-06-29,1889
2026-06-30,1864
2026-07-01,1910
2026-07-02,1966
2026-07-03,1746
2026-07-04,1351
2026-07-05,1581
