arrival,arr_airport
2026-06-06,1317
2026-06-07,1714
2026-06-08,1789
2026-06-09,1796
2026-06-10,1572
2026-06-11,1670
2026-06-12,1532
2026-06-13,1598
2026-06-14,1474
2026-06-15,1760
2026-06-16,1781
2026-06-17,1768
2026-06-18,1794
2026-06-19,1825
2026-06-20,1550
2026-06-21,1770
2026-06-22,1482
2026-06-23,1806
2026-06-24,1838
2026-06-25,1862
2026-06-26,1854
2026-06-27,1547
2026-06-28,1765
2026-06-29,1782
2026-06-30,1760
2026-07-01,1807
2026-07-02,1846
2026-07-03,1653
2026-07-04,1247
2026-07-05,1498
