dep_airport,count
KEWR,2011
KORD,1651
KATL,1428
KBOS,1424
KLAX,1186
KMCO,1110
KMIA,1061
CYYZ,1060
KDFW,979
KSFO,930
KCLT,906
EGLL,896
KFLL,891
KDEN,830
KRDU,822
KDCA,779
KBNA,722
KIAH,722
KJFK,705
KDTW,653
KIND,635
KPIT,629
KPBI,573
KTPA,566
KCLE,565
KCVG,557
KCMH,516
KMSP,498
KLAS,494
KBUF,488
TJSJ,481
KIAD,479
KSEA,477
CYUL,476
LFPG,459
KPHX,437
KCHS,398
KRIC,389
KJAX,388
KORF,378
KSTL,363
KSDF,352
KSAN,339
KAUS,337
PANC,315
LIRF,314
KROC,303
KMSY,268
CYTZ,268
KSAV,267
KBGR,254
KSLC,252
MS00,246
MMMX,238
EIDW,232
EDDF,230
KRSW,224
KMKE,218
MMUN,212
KFOK,212
LEMD,206
KMDW,202
KGSO,202
TNCA,197
KPDX,196
KGRR,183
KMCI,182
KBTV,180
LLBG,179
KTEB,175
RJTT,174
LGAV,174
LIMC,173
KGSP,164
KMVY,161
CYHZ,160
KACK,156
RKSI,152
ME91,151
LPPT,148
EHAM,148
LSZH,140
BIKF,137
KCDW,137
KMSN,137
KSNA,135
KSYR,131
KDAL,130
CYOW,128
LPPR,122
KCAE,120
KSRQ,119
LEBL,118
EGPH,118
KHPN,112
KPHL,109
03NY,106
CYVR,102
KOMA,100
KMEM,99
KXNA,97
SBGR,96
LFMN,95
MA72,93
KHTO,93
KSAT,92
EDDM,91
CYQB,91
EKCH,90
EINN,90
VHHH,84
KAVL,83
EPWA,80
KTUL,79
KBWI,77
KCHA,77
KOKC,74
KBDL,71
SC58,69
KTYS,67
SKBO,66
KALB,66
VIDP,63
KBHM,63
KDSM,62
LIPZ,61
LSGG,61
EDDB,60
CYYC,59
PHNL,59
KSMF,58
MGGT,58
ESSA,57
ENGM,57
LFPO,57
LOWW,56
KROA,55
KHVN,55
KHYA,54
KLDJ,54
KFRG,53
KLEX,53
EBMB,52
KLGA,51
9NC9,51
KOXC,50
LTFM,49
KHSV,49
RCTP,48
SAEZ,48
KHXD,47
KPVD,43
KBED,43
SKGY,43
