icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
a36636,1749260109.0,KMIA,1749268729,KEWR,AAL2008 ,2196.0,96.0,1054,40,1,5
a29212,1749265759.0,KBOS,1749268551,KEWR,FDX3926 ,804.0,16.0,1095,40,0,5
adf194,1749263221.0,KCLT,1749268343,KEWR,AAL2794 ,4062.0,373.0,1102,40,0,5
ac7f3e,1749253341.0,KLAS,1749268224,KEWR,NKS2487 ,539.0,59.0,1108,47,1,5
aa03a2,1749264501.0,KCLE,1749268132,KEWR,RPA3431 ,571.0,208.0,832,32,3,5
a94b29,1749265097.0,KBOS,1749267959,KEWR,UAL1308 ,985.0,16.0,1072,40,0,5
a97d43,1749251423.0,KLAX,1749267889,KEWR,NKS2070 ,770.0,129.0,365,17,2,5
a445f2,1749264826.0,KIAD,1749267738,KEWR,UAL1997 ,342.0,11.0,388,2,2,5
a47d11,1749260748.0,KATL,1749267620,KEWR,DAL2527 ,942.0,23.0,891,24,1,5
a33b1e,1749253604.0,KPHX,1749267530,KEWR,AAL1967 ,885.0,57.0,437,2,1,5
a0a903,1749250477.0,KSFO,1749267417,KEWR,UAL2248 ,390.0,18.0,419,17,0,5
a8d465,1749261000.0,KBNA,1749267303,KEWR,UAL213  ,2971.0,91.0,1075,40,0,5
c02e9b,1749262930.0,CYYZ,1749267209,KEWR,JZA884  ,1771.0,1.0,1252,55,1,5
abe2f6,1749264270.0,42VT,1749267104,KEWR,RPA3689 ,2424.0,1190.0,1069,32,5,5
ad7282,1749259391.0,KMSP,1749266999,KEWR,DAL2846 ,2529.0,155.0,983,40,0,5
aa7f48,1749251766.0,KLAS,1749266819,KEWR,UAL526  ,647.0,21.0,942,32,1,5
a43eea,1749252591.0,,1749266696,KEWR,UAL1446 ,,,1049,40,0,5
ab6cb0,1749260125.0,KATL,1749266595,KEWR,UAL1882 ,1802.0,23.0,522,9,0,5
ad4eba,1749262395.0,KDTW,1749266488,KEWR,DAL2609 ,1613.0,138.0,764,24,1,5
adcdcc,1749260989.0,KORD,1749266173,KEWR,AAL2549 ,1059.0,6.0,1065,32,0,5
aa7f03,1749236743.0,KDEN,1749265904,KEWR,UAL1047 ,5111.0,43.0,1104,40,5,5
aadedb,1749262300.0,KBKL,1749265774,KEWR,N8TG    ,2680.0,241.0,1302,55,0,5
a9a97f,1749259610.0,KMKE,1749265637,KEWR,RPA3578 ,188.0,22.0,1072,40,0,5
a9bb0c,1749255940.0,KDFW,1749265529,KEWR,NKS2464 ,1880.0,241.0,576,17,2,5
a36fff,1749262992.0,KBWI,1749265399,KEWR,AAL2933 ,1357.0,123.0,1084,40,1,5
aa2ed8,1749260001.0,KIND,1749265297,KEWR,RPA3522 ,6944.0,534.0,1027,40,2,5
ad6116,1749256480.0,KMIA,1749265153,KEWR,AAL322  ,2784.0,149.0,1054,40,1,5
a10e23,1749255849.0,KMSY,1749265054,KEWR,UAL2235 ,1402.0,8.0,1049,32,1,5
ad79eb,1749259178.0,KORD,1749264899,KEWR,AAL3253 ,2736.0,343.0,1093,32,1,5
a7e5c1,1749255877.0,KFLL,1749264756,KEWR,JBU706  ,2455.0,119.0,1064,40,1,5
a448fa,1749248378.0,KSEA,1749264649,KEWR,UAL1114 ,1604.0,66.0,1122,32,2,5
a9e642,1749259658.0,KIND,1749264567,KEWR,NKS2113 ,6065.0,602.0,1052,47,1,5
a44940,1749256133.0,KPBI,1749264435,KEWR,UAL2374 ,9416.0,641.0,1078,32,1,5
ac6d0a,1749261780.0,KBED,1749264279,KEWR,STY90   ,305.0,50.0,1065,55,0,5
a448d5,1749256031.0,KPBI,1749264168,KEWR,UAL2300 ,8987.0,748.0,1102,32,1,5
4bb0eb,1749227234.0,LTFM,1749264029,KEWR,THY29M  ,11584.0,914.0,1034,40,0,5
0d0b66,1749248059.0,MMMX,1749263877,KEWR,AMX410  ,4727.0,307.0,1045,40,0,5
a85f20,1749258265.0,KORD,1749263807,KEWR,UAL2362 ,1075.0,6.0,1065,40,0,5
39c48d,1749235813.0,LFPO,1749263661,KEWR,FBU96H  ,3832.0,109.0,1089,40,1,5
a8955e,1749258241.0,,1749263506,KEWR,NKS2115 ,,,1091,40,0,5
a690fb,1749260794.0,KDCA,1749263391,KEWR,GJS4602 ,331.0,64.0,1072,47,1,5
a65c29,1749254691.0,KPBI,1749263185,KEWR,JBU144  ,6119.0,596.0,939,40,1,5
a2b154,1749249674.0,TJSJ,1749263093,KEWR,UAL2036 ,4350.0,408.0,1095,32,1,5
abe2a3,1749252199.0,KDFW,1749263003,KEWR,AAL618  ,2287.0,218.0,1110,32,2,5
c060b8,1749258609.0,CYUL,1749262940,KEWR,PTR2407 ,1330.0,108.0,1114,40,0,5
aa0ec7,1749258862.0,KPIT,1749262859,KEWR,RPA3533 ,1869.0,197.0,384,9,5,5
a24cc0,1749258837.0,KCLE,1749262628,KEWR,UAL1411 ,1366.0,139.0,1072,32,2,5
a9c737,1749257613.0,CYYZ,1749262491,KEWR,RPA3460 ,1751.0,9.0,1082,40,1,5
a5d713,1749246596.0,TNCA,1749262402,KEWR,UAL1039 ,1994.0,179.0,356,2,0,5
aa3646,1749254690.0,KMSP,1749262323,KEWR,RPA3681 ,2818.0,185.0,1076,40,0,5
acbcfd,1749261249.0,KLGA,1749262260,KEWR,N92N    ,738.0,24.0,5423,85,0,5
c06360,1749257665.0,CYTZ,1749262244,KEWR,PTR2143 ,454.0,45.0,1075,32,1,5
a12711,1749259656.0,KIAD,1749262156,KEWR,UAL1909 ,1335.0,19.0,1067,32,2,5
a8a847,1749257606.0,KCMH,1749262067,KEWR,RPA3587 ,1285.0,117.0,1091,32,0,5
a6dc42,1749258263.0,KORF,1749261986,KEWR,GJS4569 ,5455.0,586.0,1060,47,1,5
aa328f,1749257988.0,KPIT,1749261911,KEWR,RPA3300 ,1319.0,258.0,1052,40,4,5
a2e87e,1749258878.0,KMHT,1749261805,KEWR,FDX1212 ,1697.0,238.0,1087,40,0,5
aa6533,1749255942.0,KAVL,1749261718,KEWR,RPA3712 ,492.0,27.0,1072,40,2,5
aa7f25,1749257583.0,KDTW,1749261625,KEWR,UAL1771 ,3437.0,207.0,1141,32,0,5
aa276a,1749258228.0,KRIC,1749261537,KEWR,RPA3459 ,3156.0,459.0,1074,32,2,5
aa1c45,1749257282.0,CYYZ,1749261439,KEWR,RPA3711 ,1775.0,9.0,337,9,1,5
a9eeb6,1749256156.0,,1749261355,KEWR,RPA3675 ,,,799,17,0,5
ac6118,1749247987.0,KSLC,1749261261,KEWR,UAL1963 ,480.0,31.0,1106,40,1,5
a9c380,1749256829.0,KRDU,1749261203,KEWR,RPA3471 ,1332.0,156.0,364,9,1,5
aa7abe,1749244775.0,KSAN,1749261089,KEWR,UAL327  ,1830.0,170.0,1319,47,2,5
a8e0a5,1749254167.0,KATL,1749261039,KEWR,NKS2216 ,724.0,7.0,957,24,1,5
a64996,1749258380.0,KJFK,1749260972,KEWR,JBU1230 ,590.0,64.0,1390,63,0,5
a8c44b,1749256815.0,KDTW,1749260871,KEWR,NKS2674 ,2043.0,184.0,1056,32,1,5
a849ab,1749252791.0,KISM,1749260789,KEWR,JBU2128 ,6299.0,1285.0,1121,40,2,5
a0817c,1749255047.0,KORD,1749260677,KEWR,UAL2133 ,1079.0,0.0,1060,40,0,5
a836fb,1749255559.0,KCLT,1749260615,KEWR,UAL723  ,3412.0,389.0,680,17,0,5
aa92c2,1749256995.0,CYOW,1749260560,KEWR,RPA3691 ,1608.0,122.0,1193,40,0,5
a80777,1749258698.0,KEWR,1749260411,KEWR,N6160Y  ,5652.0,70.0,5564,47,1,5
a254f7,1749242695.0,KLAX,1749260309,KEWR,UAL1855 ,1021.0,167.0,1156,40,2,5
71c388,1749214791.0,,1749260215,KEWR,APZ131  ,,,1111,40,0,5
aa7ec2,1749251206.0,KFLL,1749260086,KEWR,UAL2177 ,1820.0,119.0,1104,32,2,5
a2239c,1749258495.0,KEWR,1749260062,KEWR,N237MH  ,5747.0,70.0,5540,47,1,5
a8754d,1749248157.0,KAUS,1749259843,KEWR,NKS2119 ,1233.0,2.0,1045,32,3,5
abfa65,1749252444.0,KATL,1749259484,KEWR,DAL2498 ,703.0,23.0,1133,40,1,5
4b1886,1749225477.0,LSZH,1749259347,KEWR,SWR18P  ,762.0,20.0,1031,40,1,5
a5fa9f,1749258314.0,KEWR,1749259337,KEWR,N4846   ,5630.0,70.0,5882,40,1,5
