icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
a85ff5,1749259620.0,KMCO,1749268639,KJFK,JBU884  ,8870.0,740.0,1882,18,0,1
a66ce0,1749251855.0,KSEA,1749268421,KJFK,DAL1274 ,979.0,66.0,1719,18,2,1
ab43c6,1749259581.0,KTPA,1749268314,KJFK,DAL2565 ,909.0,23.0,1508,3,2,1
a6d83c,1749252636.0,KLAS,1749268237,KJFK,DAL807  ,1957.0,1.0,1692,18,1,1
a657bf,1749263012.0,KCLT,1749268126,KJFK,AAL1727 ,2780.0,305.0,1621,11,0,1
a32367,1749260475.0,KMSP,1749268033,KJFK,DAL2692 ,2082.0,162.0,1698,11,0,1
a3be7c,1749258343.0,KMSY,1749267957,KJFK,DAL1387 ,1402.0,8.0,1655,11,1,1
c00b9c,1749263005.0,CYYZ,1749267856,KJFK,JZA556  ,1780.0,1.0,1472,18,1,1
a05bde,1749264287.0,KORF,1749267785,KJFK,RPA4359 ,5273.0,540.0,1451,18,1,1
a23fb2,1749265148.0,KBOS,1749267697,KJFK,RPA5702 ,1373.0,16.0,1460,18,0,1
0d08b3,1749250948.0,MMMX,1749267567,KJFK,AMX404  ,6230.0,482.0,1436,3,0,1
ad7634,1749258107.0,KMIA,1749267448,KJFK,AAL1357 ,2502.0,142.0,1727,11,1,1
acf69b,1749263370.0,KPIT,1749267355,KJFK,EDV5118 ,1820.0,181.0,1923,34,5,1
aa7bae,1749257881.0,,1749267268,KJFK,GLG7392 ,,,849,41,0,1
a780ad,1749256879.0,0TS2,1749267208,KJFK,HAL1614 ,1676.0,458.0,1468,3,6,1
ab477d,1749253253.0,KSLC,1749267108,KJFK,DAL697  ,1113.0,15.0,1536,3,1,1
a68d02,1749255562.0,,1749267023,KJFK,DAL1969 ,,,1545,18,0,1
acb4c1,1749255374.0,KAUS,1749266925,KJFK,DAL2685 ,1214.0,2.0,1448,11,3,1
a6c781,1749258548.0,KMCO,1749266839,KJFK,JBU1284 ,9117.0,664.0,1581,11,0,1
a3e011,1749262187.0,KDTW,1749266723,KJFK,EDV5413 ,1674.0,100.0,1721,26,1,1
a894f2,1749259137.0,KJAX,1749266630,KJFK,JBU578  ,1876.0,234.0,1588,11,0,1
a6a33f,1749255452.0,,1749266545,KJFK,DAL1863 ,,,1577,18,0,1
a51b93,1749261980.0,KRDU,1749266489,KJFK,RPA4417 ,1697.0,118.0,1281,18,1,1
7805aa,1749244524.0,PANC,1749266361,KJFK,CSG2545 ,817.0,15.0,1438,11,7,1
c00b9e,1749262424.0,CYUL,1749266276,KJFK,JZA898  ,979.0,17.0,1487,18,0,1
a1b2ee,1749249727.0,MGGT,1749266178,KJFK,JBU1329 ,12157.0,822.0,1466,18,0,1
a83876,1749256941.0,KTPA,1749265994,KJFK,JBU2826 ,862.0,38.0,1437,18,2,1
a35109,1749263264.0,KBOS,1749265859,KJFK,JBU317  ,863.0,24.0,1998,34,0,1
a3725a,1749256181.0,KFLL,1749265746,KJFK,DAL1683 ,1642.0,142.0,1910,18,2,1
aaaa92,1749254278.0,KDFW,1749265576,KJFK,AAL9789 ,1195.0,188.0,1552,18,3,1
a35949,1749259174.0,KSAV,1749265395,KJFK,JBU342  ,257.0,0.0,1528,18,1,1
a335f4,1749257413.0,KISM,1749265198,KJFK,DAL1511 ,8030.0,767.0,2049,18,2,1
a8df2c,1749258427.0,KATL,1749265134,KJFK,DAL2380 ,1001.0,15.0,1655,18,1,1
a35c97,1749259289.0,KCHS,1749265029,KJFK,JBU1274 ,1299.0,283.0,1549,18,0,1
a3d90a,1749250458.0,KPHX,1749264929,KJFK,AAL832  ,744.0,42.0,1516,3,1,1
a05614,1749247774.0,KLAX,1749264839,KJFK,DAL991  ,1010.0,190.0,1476,26,2,1
a1cf48,1749245542.0,KLAX,1749264765,KJFK,JBU324  ,783.0,129.0,1661,18,2,1
484371,1749237635.0,EHAM,1749264627,KJFK,KLM207  ,2112.0,71.0,1733,3,0,1
a7b0c4,1749254649.0,KMSY,1749264548,KJFK,JBU1314 ,1300.0,1.0,1550,18,1,1
3c4588,1749236056.0,EDDF,1749264388,KJFK,BOX450  ,4865.0,163.0,1936,3,1,1
adc9b6,1749246243.0,KLAS,1749264373,KJFK,JBU348  ,1983.0,9.0,571,11,1,1
4ba9cc,1749226402.0,LTFM,1749264238,KJFK,THY11   ,6956.0,548.0,750,18,0,1
a9854e,1749257924.0,KORD,1749264146,KJFK,AAL2091 ,1068.0,0.0,716,26,0,1
a64578,1749251719.0,TJSJ,1749264029,KJFK,DAL9907 ,3300.0,469.0,1883,18,1,1
406ecc,1749237755.0,EGLL,1749263819,KJFK,VIR25B  ,1848.0,127.0,1986,11,2,1
a35cba,1749260015.0,KBUF,1749263674,KJFK,JBU201  ,206.0,14.0,1650,11,3,1
a47d05,1749254793.0,KPBI,1749263572,KJFK,DAL2912 ,7633.0,619.0,2158,26,1,1
ab4ba6,1749250688.0,TJSJ,1749263504,KJFK,JBU304  ,3946.0,454.0,1631,3,1,1
a37af8,1749254117.0,KMIA,1749263419,KJFK,AAL1922 ,2592.0,180.0,1433,3,1,1
a358bd,1749254602.0,KPBI,1749263321,KJFK,JBU1154 ,6348.0,634.0,1715,11,1,1
a38a21,1749256923.0,KSDF,1749263125,KJFK,UPS5114 ,1897.0,319.0,1620,11,2,1
a7dadc,1749256753.0,KORD,1749263020,KJFK,EDV4957 ,1128.0,6.0,1888,26,0,1
aac33e,1749244973.0,SKBO,1749262888,KJFK,AVA244  ,833.0,117.0,2074,18,1,1
400683,1749236952.0,EGLL,1749262799,KJFK,BAW183  ,1299.0,119.0,1661,3,2,1
8695c6,1749218826.0,RJTT,1749262699,KJFK,ANA160  ,1355.0,12.0,1490,3,0,1
39d2a9,1749235685.0,LFPG,1749262600,KJFK,AFR012  ,3913.0,360.0,1776,11,2,1
47b0e7,1749235331.0,LFPG,1749262482,KJFK,NBT30G  ,4103.0,261.0,1562,11,2,1
a310cf,1749259488.0,KIAD,1749262409,KJFK,EDV5272 ,1149.0,19.0,1656,18,2,1
ac767c,1749256863.0,KCLT,1749262316,KJFK,AAL657  ,2867.0,381.0,1650,3,0,1
adc238,1749242682.0,KSAN,1749262079,KJFK,JBU190  ,1615.0,200.0,1677,11,2,1
47b1dc,1749230992.0,LIRF,1749261785,KJFK,NBT40H  ,1270.0,95.0,1837,11,0,1
06a0e4,1749215443.0,,1749261689,KJFK,QTR36B  ,,,1704,3,0,1
a44291,1749254827.0,KATL,1749261568,KJFK,DAL2378 ,587.0,23.0,1636,3,1,1
ace96a,1749243175.0,KSFO,1749261466,KJFK,ASA20   ,452.0,3.0,1881,11,0,1
a1d2dc,1749242145.0,KSFO,1749261239,KJFK,JBU416  ,179.0,3.0,1950,18,0,1
47b121,1749231397.0,EDDB,1749261067,KJFK,NBT06B  ,3145.0,89.0,1721,3,0,1
4cc576,1749239651.0,BIKF,1749260948,KJFK,ICE55L  ,515.0,161.0,1676,11,0,1
a6d234,1749247888.0,TJSJ,1749260861,KJFK,DAL1961 ,3404.0,416.0,1461,11,1,1
a19cc7,1749246742.0,,1749260666,KJFK,JBU938  ,,,1699,18,0,1
acb963,1749259269.0,KJFK,1749260624,KJFK,N919PD  ,10305.0,41.0,10270,26,0,2
a7816a,1749241793.0,KSAN,1749260567,KJFK,DAL683  ,1814.0,223.0,1582,18,2,1
a01fee,1749242277.0,KSFO,1749260389,KJFK,AAL166  ,188.0,3.0,1471,3,0,1
a17ecd,1749241118.0,KLAX,1749260249,KJFK,DAL939  ,1875.0,129.0,1471,18,2,1
