Venue,count
Dallas Stadium,9
Los Angeles Stadium,8
New York New Jersey Stadium,8
Atlanta Stadium,8
Miami Stadium,8
Boston Stadium,7
BC Place Vancouver,7
Mexico City Stadium,6
San Francisco Bay Area Stadium,6
Houston Stadium,6
Philadelphia Stadium,6
Seattle Stadium,6
Kansas City Stadium,6
Toronto Stadium,5
Estadio Guadalajara,4
Estadio Monterrey,4
"ROUND OF 32 (June 28 – July 3, 2026)",1
"ROUND OF 16 (July 4 – July 7, 2026)",1
"QUARTER-FINALS (July 9 – July 11, 2026)",1
"SEMI-FINALS (July 14 – July 15, 2026)",1
"THIRD-PLACE MATCH (July 18, 2026)",1
"FINAL (July 19, 2026)",1
