Group,Participating Nations,lat,long
Group A,Mexico,23.634501,-102.552784
Group A,South Africa,-30.559482,22.937506
Group A,South Korea,35.907757,127.766922
Group A,Czechia,49.81749199999999,15.472962
Group B,Canada,56.130366,-106.346771
Group B,Bosnia and Herzegovina,43.915886,17.679076
Group B,Switzerland,46.818188,8.227511999999999
Group B,Qatar,25.354826,51.183884
Group C,Brazil,-14.235004,-51.92528
Group C,Morocco,31.791702,-7.092619999999999
Group C,Scotland,57.7470127655324,-4.687305781018138
Group C,Haiti,18.971187,-72.285215
Group D,USA,38.7945952,-106.5348379
Group D,Paraguay,-23.442503,-58.443832
Group D,Australia,-25.274398,133.775136
Group D,Türkiye,38.963745,35.243322
Group E,Germany,51.165691,10.451526
Group E,Ecuador,-1.831239,-78.18340599999999
Group E,Ivory Coast,7.539988999999999,-5.547079999999999
Group E,Curaçao,12.16957,-68.99002
Group F,Netherlands,52.132633,5.291265999999999
Group F,Japan,36.204824,138.252924
Group F,Tunisia,33.886917,9.537499
Group F,Sweden,60.12816100000001,18.643501
Group G,Belgium,50.503887,4.469936
Group G,Iran,32.427908,53.688046
Group G,Egypt,26.820553,30.802498
Group G,New Zealand,-40.900557,174.885971
Group H,Spain,40.46366700000001,-3.74922
Group H,Cabo Verde,16.5388,-23.0418
Group H,Saudi Arabia,23.885942,45.079162
Group H,Uruguay,-32.522779,-55.765835
Group I,France,46.227638,2.213749
Group I,Senegal,14.497401,-14.452362
Group I,Iraq,33.223191,43.679291
Group I,Norway,60.47202399999999,8.468945999999999
Group J,Argentina,-38.416097,-63.61667199999999
Group J,Algeria,28.033886,1.659626
Group J,Austria,47.516231,14.550072
Group J,Jordan,30.585164,36.238414
Group K,Portugal,39.39987199999999,-8.224454
Group K,Colombia,4.570868,-74.297333
Group K,Uzbekistan,41.377491,64.585262
Group K,DR Congo,-4.038333,21.758664
Group L,England,52.83816401015793,-2.327480843616569
Group L,Croatia,45.1,15.2
Group L,Panama,8.537981,-80.782127
Group L,Ghana,7.946527,-1.023194
