Venue,City,Country,lat,long,count,net capacity,media
New York New Jersey Stadium,New York/New Jersey,United States,408.135.064,-74.074.457,8,78576,"<img src=""https://digitalhub.fifa.com/transform/3c7be94b-f864-4f82-9909-9d3be5a303c5/FWC-2026-Stadiums-New-York?&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
Kansas City Stadium,Kansas City,United States,390.489.647,-944.840.141,6,67513,"<img src=""https://collect.fifa.com/blog/wp-content/uploads/2025/12/kc-stadium-400x267.jpg"" width=""320"" height=""200"">"
San Francisco Bay Area Stadium,San Francisco Bay Area,United States,374.033.165,-1.219.693.774,6,69391,"<img src=""https://collect.fifa.com/blog/wp-content/uploads/2025/10/photo_6036269466301172689_y-400x247.jpg"" width=""320"" height=""200"">"
Atlanta Stadium,Atlanta,United States,337.553.232,-8.440.059.049.999.990,8,67382,"<img src=""https://collect.fifa.com/blog/fifa-world-cup-26-in-atlanta/"" width=""320"" height=""200"">"
Miami Stadium,Miami,United States,257.616.798,-801.917.902,8,64091,"<img src=""https://digitalhub.fifa.com/transform/93641040-ab29-4fdf-98ba-095ff0081ba0/FWC-2026-Miami-Stadium?&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
Houston Stadium,Houston,United States,296.847.219,-954.107.074,6,68311,"<img src=""https://collect.fifa.com/blog/wp-content/uploads/2025/11/houston-stadium-1-400x267.jpg"" width=""320"" height=""200"">"
Dallas Stadium,Dallas,United States,327.480.281,-970.928.124,9,70122,"<img src=""https://collect.fifa.com/blog/wp-content/uploads/2025/10/ATT-Stadium.webp"" width=""320"" height=""200"">"
Los Angeles Stadium,Los Angeles,United States,339.534.765,-1.183.390.235,8,69650,"<img src=""https://digitalhub.fifa.com/transform/2563919b-e52e-43ba-a207-7c5556bf45f4/INGLEWOOD-CALIFORNIA-JANUARY-30-A-general-view-of-the-field-is-seen-before-the-NFC-Championship-Game-between-the-Los-Angeles-Rams-and-the-San-Francisco-49ers-at-SoFi-Stadium-on-January-30-2022-in-Inglewood-California-Photo-by-Ronald-Martinez-Getty-Images?&io=transform:fill,width:1024&quality=75"" width=""320"" height=""200"">"
Philadelphia Stadium,Philadelphia,United States,399.014.189,-751.675.992,6,65827,"<img src=""https://digitalhub.fifa.com/transform/8d46bd9a-acd0-477b-8a35-2af2c2cdcd93/plan-your-visit_text-image_philadelphia-stadium?focuspoint=0.49,0.63&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
Boston Stadium,Boston,United States,4.209.092.740.000.000,-71.264.363,7,63815,"<img src=""https://digitalhub.fifa.com/transform/b441d832-e99a-46e9-8c14-43b1fd41c4cd/bos1?&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
Seattle Stadium,Seattle,United States,475.951.518,-1.223.316.394,6,65123,"<img src=""https://digitalhub.fifa.com/transform/ac3f4fa9-b704-40fa-a256-43f3896c8161/FWC-2026-Stadiums-Seattle?focuspoint=0.5,0.67&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
BC Place Vancouver,Vancouver,Canada,492.827.291,-1.231.207.375,7,48821,"<img src=""https://digitalhub.fifa.com/transform/bae63391-a76e-4189-935e-e6d0d5cc9c05/plan-your-visit_text-image_vancouver-stadium?&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
Toronto Stadium,Toronto,Canada,436.331.948,-7.941.856.349.999.990,5,44315,"<img src=""https://digitalhub.fifa.com/transform/9a58e219-7f81-4523-a201-2d3527eec509/plan-your-visit_text-image_toronto-stadium?&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
Mexico City Stadium,Mexico City,Mexico,193.028.607,-991.505.277,6,72766,"<img src=""https://digitalhub.fifa.com/transform/df255333-ebc1-48d8-bc4b-476524c064e3/FWC-2026-Stadiums-Mexico-City?&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
Monterrey Stadium,Monterrey,Mexico,256.691.508,-1.002.444.429,4,50113,"<img src=""https://digitalhub.fifa.com/transform/b0c5db96-c6cf-49c8-b847-45aea5bed2b5/FWC-2026-Stadiums-Monterrey?&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
Guadalajara Stadium,Guadalajara,Mexico,206.817.764,-1.034.626.455,4,44330,"<img src=""https://digitalhub.fifa.com/transform/ac3f4fa9-b704-40fa-a256-43f3896c8161/FWC-2026-Stadiums-Seattle?focuspoint=0.5,0.67&io=transform:fill,aspectratio:1x1,width:1536&quality=75"" width=""320"" height=""200"">"
